Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
45580500,-0.61,11.37,159.7,28.34,445.7,473.5,70.3
45582000,-0.62,11.28,163.2,28.06,447.3,476.2,70.0
45583500,-0.61,11.35,159.4,28.57,447.2,474.8,70.4
45585000,-0.62,11.30,161.9,28.26,447.6,476.0,70.1
45586500,-0.61,11.33,159.9,28.55,447.7,475.4,70.4
45588000,-0.61,11.28,161.6,28.42,448.7,476.9,70.2
45589500,-0.61,11.30,161.5,28.32,447.7,475.9,70.2
45591000,-0.61,11.28,161.8,28.37,448.4,476.7,70.2
45592500,-0.62,11.31,163.3,27.87,445.7,474.6,69.9
45594000,-0.61,11.28,161.5,28.44,448.8,477.0,70.2
45595500,-0.61,11.32,161.0,28.37,447.4,475.5,70.2
45597000,-0.62,11.26,163.5,28.14,448.4,477.3,70.0
45598500,-0.61,11.26,161.6,28.53,449.6,477.8,70.2
45600000,-0.61,11.30,161.2,28.39,447.9,476.0,70.2
45601500,-0.61,11.24,161.5,28.69,451.0,479.1,70.3
45603000,-0.61,11.29,160.4,28.65,449.3,477.1,70.4
45604500,-0.61,11.23,162.9,28.40,450.1,478.7,70.1
45606000,-0.61,11.30,161.7,28.31,447.8,476.1,70.1
45607500,-0.61,11.26,162.1,28.42,449.3,477.7,70.2
45609000,-0.61,11.30,160.7,28.54,448.6,476.6,70.3
45610500,-0.61,11.23,163.0,28.38,450.0,478.6,70.1
45612000,-0.61,11.23,163.4,28.31,449.9,478.6,70.0
45613500,-0.61,11.25,161.7,28.58,450.1,478.3,70.2
45615000,-0.61,11.22,162.3,28.60,451.2,479.6,70.2
45616500,-0.61,11.19,163.7,28.49,451.8,480.5,70.1
45618000,-0.61,11.21,163.3,28.43,450.8,479.4,70.1
45619500,-0.61,11.20,163.8,28.38,451.1,479.9,70.0
45621000,-0.61,11.23,162.5,28.51,450.5,478.9,70.2
45622500,-0.62,11.25,163.4,28.19,448.8,477.7,70.0
45624000,-0.61,11.21,162.5,28.66,451.8,480.2,70.2
45625500,-0.61,11.20,164.1,28.33,450.9,479.9,70.0
